,カウント　,X,Y,Z,ノルム,閾値1.5,連続消す,ジャーク,J閾値0.4,J閾値0.6,,,,,
1.5454E+12,223,-0.836,-0.016,0.316,0.799008,0,0,-0.015536,0,0,0,,,,
1.5454E+12,224,-0.948,-0.12,0.276,0.98928,0,0,0.190272,0,0,0,,,,
1.5454E+12,225,-1.012,0.144,0.2,1.08488,0,0,0.0956,0,0,0,,,,
1.5454E+12,226,-1.012,0.144,0.2,1.08488,0,0,0,0,0,0,,,,
1.5454E+12,227,-1.02,0.012,0.172,1.070128,0,0,-0.014752,0,0,0,,,,
1.5454E+12,228,-1.012,-0.004,0.176,1.055136,0,0,-0.014992,0,0,0,,,,
1.5454E+12,229,-1.14,-0.064,0.128,1.32008,0,0,0.264944,0,0,0,,,,
1.5454E+12,230,-0.988,-0.2,-0.04,1.017744,0,0,-0.302336,0,0,0,,,,
1.5454E+12,231,-1.004,-0.08,0.032,1.01544,0,0,-0.002304,0,0,0,,,,
1.5454E+12,232,-1.004,-0.08,0.032,1.01544,0,0,0,0,0,0,,,,
1.5454E+12,233,-1.028,0.012,-0.032,1.057952,0,0,0.042512,0,0,0,,,,
1.5454E+12,234,-0.976,0.08,-0.08,0.965376,0,0,-0.092576,0,0,0,,,,
1.5454E+12,235,-0.972,0.084,-0.036,0.953136,0,0,-0.01224,0,0,0,,,,
1.5454E+12,236,-0.968,0.084,-0.072,0.949264,0,0,-0.003872,0,0,0,,,,
1.5454E+12,237,-0.968,0.084,-0.072,0.949264,0,0,0,0,0,0,,,,
1.5454E+12,238,-0.984,0.068,-0.024,0.973456,0,0,0.024192,0,0,0,,,,
1.5454E+12,239,-1.16,0.136,-0.056,1.367232,0,0,0.393776,0,0,0,,,,
1.5454E+12,240,-1.32,-0.308,-0.368,1.972688,1,1,0.605456,1,1,0,,,,
1.5454E+12,241,-1.04,-0.304,0.22,1.222416,0,0,-0.750272,0,0,0,,,,
1.5454E+12,242,-0.92,-0.268,0.1,0.928224,0,0,-0.294192,0,0,0,,,,
1.5454E+12,243,-0.92,-0.268,0.1,0.928224,0,0,0,0,0,0,,,,
1.5454E+12,244,-0.892,-0.092,0.056,0.807264,0,0,-0.12096,0,0,0,,,,
1.5454E+12,245,-0.896,-0.144,-0.02,0.823952,0,0,0.016688,0,0,0,,,,
1.5454E+12,246,-1.028,-0.248,-0.076,1.124064,0,0,0.300112,0,0,0,,,,
1.5454E+12,247,-0.94,-0.192,-0.144,0.9412,0,0,-0.182864,0,0,0,,,,
1.5454E+12,248,-0.972,-0.168,-0.12,0.987408,0,0,0.046208,0,0,0,,,,
1.5454E+12,249,-0.972,-0.168,-0.12,0.987408,0,0,0,0,0,0,,,,
1.5454E+12,250,-0.86,-0.212,-0.156,0.80888,0,0,-0.178528,0,0,0,,,,
1.5454E+12,251,-0.932,-0.24,-0.176,0.9572,0,0,0.14832,0,0,0,,,,
1.5454E+12,252,-1.628,-0.8,0.268,3.362208,1,1,2.405008,1,1,0,,,,
1.5454E+12,253,-1.044,-0.136,0.36,1.238032,0,0,-2.124176,0,0,0,,,,
1.5454E+12,254,-0.992,-0.244,0.22,1.092,0,0,-0.146032,0,0,0,,,,
1.5454E+12,255,-0.824,-0.148,0.168,0.729104,0,0,-0.362896,0,0,0,,,,
1.5454E+12,256,-0.824,-0.148,0.168,0.729104,0,0,0,0,0,0,,,,
1.5454E+12,257,-0.988,-0.212,0.044,1.023024,0,0,0.29392,0,0,0,,,,
1.5454E+12,258,-0.82,-0.14,0.06,0.6956,0,0,-0.327424,0,0,0,,,,
1.5454E+12,259,-0.932,-0.028,-0.156,0.893744,0,0,0.198144,0,0,0,,,,
1.5454E+12,260,-1.008,-0.112,-0.196,1.067024,0,0,0.17328,0,0,0,,,,
1.5454E+12,261,-1.008,-0.112,-0.196,1.067024,0,0,0,0,0,0,,,,
1.5454E+12,262,-0.988,0.096,-0.16,1.01096,0,0,-0.056064,0,0,0,,,,
1.5454E+12,263,-0.948,-0.056,-0.216,0.948496,0,0,-0.062464,0,0,0,,,,
1.5454E+12,264,-1.14,0.1,-0.044,1.311536,0,0,0.36304,0,0,0,,,,
1.5454E+12,265,-1.092,-0.292,0.288,1.360672,0,0,0.049136,0,0,0,,,,
1.5454E+12,266,-0.864,-0.188,0.212,0.826784,0,0,-0.533888,0,0,0,,,,
1.5454E+12,267,-0.864,-0.188,0.212,0.826784,0,0,0,0,0,0,,,,
1.5454E+12,268,-1.044,-0.136,0.32,1.210832,0,0,0.384048,0,0,0,,,,
1.5454E+12,269,-0.916,-0.072,-0.048,0.846544,0,0,-0.364288,0,0,0,,,,
1.5454E+12,270,-0.78,-0.176,-0.032,0.6404,0,0,-0.206144,0,0,0,,,,
1.5454E+12,271,-0.912,-0.14,-0.064,0.85544,0,0,0.21504,0,0,0,,,,
1.5454E+12,272,-0.944,-0.128,-0.036,0.908816,0,0,0.053376,0,0,0,,,,
1.5454E+12,273,-0.944,-0.128,-0.036,0.908816,0,0,0,0,0,0,,,,
1.5454E+12,274,-0.96,-0.264,-0.172,1.02088,0,0,0.112064,0,0,0,,,,
1.5454E+12,275,-1.536,-0.36,0.428,2.67208,1,1,1.6512,1,1,0,,,,
1.5454E+12,276,-0.864,-0.208,0.1,0.79976,0,0,-1.87232,0,0,0,,,,
1.5454E+12,277,-0.992,-0.228,0.204,1.077664,0,0,0.277904,0,0,0,,,,
1.5454E+12,278,-1.012,-0.268,0.232,1.149792,0,0,0.072128,0,0,0,,,,
1.5454E+12,279,-1.012,-0.268,0.232,1.149792,0,0,0,0,0,0,,,,
1.5454E+12,280,-0.9,-0.34,0.172,0.955184,0,0,-0.194608,0,0,0,,,,
1.5454E+12,281,-0.976,-0.176,0.2,1.023552,0,0,0.068368,0,0,0,,,,
1.5454E+12,282,-1.028,-0.24,0.06,1.117984,0,0,0.094432,0,0,0,,,,
1.5454E+12,283,-1.076,-0.124,-0.072,1.178336,0,0,0.060352,0,0,0,,,,
1.5454E+12,284,-0.928,-0.184,-0.112,0.907584,0,0,-0.270752,0,0,0,,,,
1.5454E+12,285,-0.928,-0.184,-0.112,0.907584,0,0,0,0,0,0,,,,
1.5454E+12,286,-0.92,-0.12,-0.2,0.9008,0,0,-0.006784,0,0,0,,,,
